Author,Writing,Rough Source
William Perkins,A godly and learned exposition of Christs Sermon in the Mount:,https://quod.lib.umich.edu/e/eebo/A09432.0001.001?view=toc
John Milton,Colasterion,https://milton.host.dartmouth.edu/reading_room/colasterion/text.shtml
John Milton,Tetrachordon,https://milton.host.dartmouth.edu/reading_room/tetrachordon/intro/text.shtml
John Milton,The Doctrine and Discipline of Divorce,https://milton.host.dartmouth.edu/reading_room/ddd/book_1/text.shtml
John Milton,The Judgment of Martin Bucer,https://milton.host.dartmouth.edu/reading_room/bucer/text.shtml
